id,state,value
1,Alabama,18.8
2,Alaska,18.1
3,Arizona,18.6
4,Arkansas,22.4
5,California,12
6,Colorado,13.6
7,Connecticut,10.8
8,Delaware,16.2
9,District of Columbia,5.9
10,Florida,17.9
11,Georgia,15.6
12,Hawaii,17.5
13,Idaho,15.3
14,Illinois,12.8
15,Indiana,14.5
16,Iowa,15.7
17,Kansas,17.8
18,Kentucky,21.4
19,Louisiana,20.5
20,Maine,15.1
21,Maryland,12.5
22,Massachusetts,8.2
23,Michigan,14.1
24,Minnesota,9.6
25,Mississippi,17.6
26,Missouri,16.1
27,Montana,21.4
28,Nebraska,14.9
29,Nevada,14.7
30,New Hampshire,11.6
31,New Jersey,11.2
32,New Mexico,18.4
33,New York,12.3
34,North Carolina,16.8
35,North Dakota,23.9
36,Ohio,14.1
37,Oklahoma,19.9
38,Oregon,12.8
39,Pennsylvania,18.2
40,Rhode Island,11.1
41,South Carolina,23.9
42,South Dakota,19.4
43,Tennessee,19.5
44,Texas,19.4
45,Utah,11.3
46,Vermont,13.6
47,Virginia,12.7
48,Washington,10.6
49,West Virginia,23.8
50,Wisconsin,13.8
51,Wyoming,17.4
