state,value
Alabama,4.16
Alaska,0.06
Arizona,1.28
Arkansas,4.04
California,2.53
Colorado,1.78
Connecticut,9.46
Delaware,7.14
Florida,5.08
Georgia,4.7
Hawaii,1.52
Idaho,1.3
Illinois,5.52
Indiana,5.64
Iowa,4.21
Kansas,3.54
Kentucky,4.2
Louisiana,2.99
Maine,1.52
Maryland,7.24
Massachusetts,9.89
Michigan,4.53
Minnesota,3.6
Mississippi,3.45
Missouri,4.01
Montana,1.03
Nebraska,2.52
Nevada,0.93
New Hampshire,3.72
New Jersey,11.46
New Mexico,1.32
New York,5.08
North Carolina,4.67
North Dakota,2.58
Ohio,6.41
Oklahoma,3.42
Oregon,1.69
Pennsylvania,5.61
Rhode Island,12.32
South Carolina,5.4
South Dakota,2.21
Tennessee,4.94
Texas,2.6
Utah,1.26
Vermont,3.17
Virginia,4.13
Washington,2.51
West Virginia,3.33
Wisconsin,4.4
Wyoming,0.65
